participant,bias_source,cond,contrast_level,stim,response_non_zero,prop_zero,response,response_pred,hurdle_prob,response_pred_non_zero,model_name
001,baserate,control,absent,0,0.03594016816160904,0.92,0.002875213452928723,0.002083086914990452,0.94375,0.03703711220682759,full
001,baserate,control,high,0.05117611553781785,0.05833204285184346,0.16,0.0489989159955485,0.04513403143707952,0.22319999999999995,0.05810251214866056,full
001,baserate,control,low,0.03309817515779713,0.05139546068939176,0.68,0.016446547420605365,0.022849287893960055,0.549975,0.05077344808695951,full
001,baserate,present,absent,0,0.03803763795442263,0.65,0.013313173284047922,0.010325446865992934,0.723875,0.03740069847325082,full
001,baserate,present,high,0.05117611553781785,0.05309296400065245,0.022222222222222223,0.051913120356193505,0.04749426572795811,0.10077499999999995,0.05281707183227044,full
001,baserate,present,low,0.03309817515779713,0.046912039219943955,0.35555555555555557,0.03023220305285277,0.03536163778317916,0.251375,0.04723545588438495,full
002,baserate,control,absent,0,0.013123182489522477,0.97,3.936954746856743e-4,0.001969579311736205,0.91675,0.023888372783179696,full
002,baserate,control,high,0.03072861688428858,0.03576105501688283,0.3,0.02503273851181798,0.018283316952689393,0.479475,0.03513992530031871,full
002,baserate,control,low,0.02202532891836582,0.030448319638274723,0.74,0.007916563105951428,0.011079997435187209,0.649375,0.03163827188243942,full
002,baserate,present,absent,0,0.03400818852786131,0,0.03400818852786131,0.027271679065148068,0.04115000000000002,0.028505655205145076,full
002,baserate,present,high,0.03072861688428858,0.03456925600613886,0,0.03456925600613886,0.03705063340629138,0.00572499999999998,0.03727014872651213,full
002,baserate,present,low,0.02202532891836582,0.03603539815182849,0,0.03603539815182849,0.03426269343439015,0.01012500000000005,0.03462379074690928,full
003,baserate,control,absent,0,0.016586789410358238,0.82,0.0029856220938644824,0.0028605745982197258,0.827175,0.017547468968460746,full
003,baserate,control,high,0.03110808128354102,0.02655993873354772,0.04,0.025497541184205812,0.020370743667772164,0.2632,0.02772544612495464,full
003,baserate,control,low,0.02096873878369843,0.02275084682413629,0.6,0.009100338729654515,0.013286381186155943,0.445175,0.024143814271102088,full
003,baserate,present,absent,0,0.019149895528016415,0.45,0.01053244254040903,0.009929229037023935,0.45520000000000005,0.01887066900959998,full
003,baserate,present,high,0.03110808128354102,0.026628407960297674,0.022222222222222223,0.026036665561179947,0.023466145662648027,0.10819999999999996,0.026425483084444992,full
003,baserate,present,low,0.02096873878369843,0.020997258231710277,0.2111111111111111,0.016564503716126996,0.019297347980328724,0.1854,0.023886621141839485,full
004,baserate,control,absent,0,0.006285698999821386,0.96,2.514279599928555e-4,6.90624250801317e-4,0.9733,0.02594305715180174,full
004,baserate,control,high,0.03598122617971382,0.04335522827937335,0.7,0.013006568483812006,0.012726932762364685,0.677025,0.039410143084356565,full
004,baserate,control,low,0.03297033120121381,0.037176890100757295,0.78,0.008178915822166606,0.010306316559921693,0.729625,0.038124567664160815,full
004,baserate,present,absent,0,0.03829828969917405,0.05,0.03638337521421535,0.027722178177803883,0.13680000000000003,0.03214141387688091,full
004,baserate,present,high,0.03598122617971382,0.0461730283555979,0.022222222222222223,0.045146961058806834,0.042227752003437334,0.017100000000000004,0.04296345095619786,full
004,baserate,present,low,0.03297033120121381,0.03789164726764223,0.022222222222222223,0.03704961066169462,0.04116346290082081,0.02059999999999995,0.04203172463537584,full
005,baserate,control,absent,0,0.02133532444621016,0.55,0.009600896000794572,0.011413819435826821,0.535775,0.02474693145354643,full
005,baserate,control,high,0.02730687394083585,0.0408899161246158,0,0.0408899161246158,0.03145776312541118,0.11262499999999998,0.03545842415612168,full
005,baserate,control,low,0.01720629424627999,0.027172074224448346,0.24,0.020650776410580742,0.024489880364686162,0.221175,0.0314739227651227,full
005,baserate,present,absent,0,0.024977642747733484,0.35,0.016235467786026764,0.018922827358323385,0.3087,0.027450733667501087,full
005,baserate,present,high,0.02730687394083585,0.03916453051511789,0.011111111111111112,0.03872936906494991,0.03268954775890223,0.07499999999999996,0.03535031479856491,full
005,baserate,present,low,0.01720629424627999,0.027845644195784964,0.17777777777777778,0.02289530744986764,0.028004034200071394,0.133675,0.03234741271556793,full
006,baserate,control,absent,0,0.013820316391274736,0.97,4.1460949173824206e-4,0.0032016648815299054,0.870025,0.024808020775248792,full
006,baserate,control,high,0.03449333922969967,0.039326169022584956,0.16,0.03303398197897136,0.02634804249388706,0.30155,0.03773224814866114,full
006,baserate,control,low,0.02905007138767517,0.03482582345909376,0.34,0.02298504348300188,0.02172032287724939,0.39265000000000005,0.035776305947469875,full
006,baserate,present,absent,0,0.034592629750060666,0.4,0.0207555778500364,0.014949936273371777,0.37707500000000005,0.024185851014231798,full
006,baserate,present,high,0.03449333922969967,0.031935983970622084,0.06666666666666667,0.029806918372580614,0.031437093064661324,0.063975,0.033602101252117995,full
006,baserate,present,low,0.02905007138767517,0.03171547013545421,0.06666666666666667,0.029601105459757266,0.029306784291411897,0.08857499999999996,0.03217948574280232,full
008,baserate,control,absent,0,0.007874015748031496,0.99,7.874015748031496e-5,0.003883994826782499,0.885225,0.03385309865872568,full
008,baserate,control,high,0.03537892473076895,0.04910839439363469,0.12,0.04321538706639852,0.03263335555953045,0.3187,0.04789880348678235,full
008,baserate,control,low,0.02622041884307685,0.045458164941867406,0.5,0.022729082470933703,0.022514247577389776,0.49077499999999996,0.044214392735170596,full
008,baserate,present,absent,0,0.03023437017144386,0,0.03023437017144386,0.021435799496204905,0.08292500000000003,0.02358121472449093,full
008,baserate,present,high,0.03537892473076895,0.03149568198536134,0,0.03149568198536134,0.03310819641060456,0.00967499999999999,0.03345093588511293,full
008,baserate,present,low,0.02622041884307685,0.02984646491320804,0.011111111111111112,0.029514837525283506,0.030166800529251057,0.017124999999999946,0.030727743439889234,full
009,baserate,control,absent,0,0.028893632885974033,0.29,0.02051447934904156,0.01776032191845679,0.416025,0.030452074949571875,full
