participant,bias_source,cond,contrast_level,stim,response_non_zero,prop_zero,response,response_pred,hurdle_prob,response_pred_non_zero,model_name
065,cue,control,absent,0,0.04557019385633692,0.29,0.03235483763799921,0.011530576852295894,0.6757,0.03573357567642928,simple
065,cue,control,high,0.04070563027418321,0.04414334322344524,0.14,0.03796327517216291,0.05988385728422758,0.018024999999999958,0.060985465049442224,simple
065,cue,control,low,0.02171207978168478,0.03525087415735081,0.38,0.021855541977557503,0.04166182417594248,0.14315,0.04864230050354074,simple
065,cue,present,absent,0,0.032499806720336887,0.69,0.010074940083304434,0.011641007937425568,0.672825,0.035782319259269606,simple
065,cue,present,high,0.04070563027418321,0.06971015608289419,0.06,0.06552754671792053,0.05967858303667052,0.01970000000000005,0.06087908619957996,simple
065,cue,present,low,0.02171207978168478,0.049067259818964606,0.4,0.029440355891378764,0.04169753564995217,0.143675,0.0487120588409857,simple
066,cue,control,absent,0,0.018746829182565723,0.21,0.01480999505422692,0.009045003908359744,0.422975,0.019459324428918647,simple
066,cue,control,high,0.03347301560183211,0.024469800903732925,0.06,0.023001612849508947,0.03278956607209991,0.03785000000000005,0.03430493945118293,simple
066,cue,control,low,0.02285751445655291,0.018152321146366158,0.2,0.014521856917092926,0.02563416079108068,0.09182500000000005,0.02884755046454705,simple
066,cue,present,absent,0,0.02015071730566632,0.06,0.018941674267326344,0.008869300094731764,0.42390000000000005,0.01921605976667094,simple
066,cue,present,high,0.03347301560183211,0.022607051400011968,0.02,0.02215491037201173,0.03266239803040939,0.037699999999999956,0.0341866024735426,simple
066,cue,present,low,0.02285751445655291,0.02158768693594521,0.06,0.020292425719788496,0.02558255604564327,0.089225,0.02870230001297189,simple
067,cue,control,absent,0,0.03835793968263718,0.95,0.001917896984131859,0.002515457189476777,0.92735,0.03480157612666865,simple
067,cue,control,high,0.03959001946413527,0.04734662714282495,0.18,0.03882423425711646,0.052278062973627464,0.11872499999999997,0.0593232757015796,simple
067,cue,control,low,0.02590428602324528,0.03834843845587394,0.66,0.01303846907499714,0.03051168460988128,0.39554999999999996,0.05049108387506661,simple
067,cue,present,absent,0,0.03897282145889275,0.8,0.00779456429177855,0.0024113615965455433,0.92965,0.034524925105551996,simple
067,cue,present,high,0.03959001946413527,0.06765723264117429,0,0.06765723264117429,0.05206557628025921,0.11962499999999998,0.05914228769749507,simple
067,cue,present,low,0.02590428602324528,0.0550078505547843,0.38,0.03410486734396627,0.03062320622872849,0.39235,0.05040876045081544,simple
068,cue,control,high,0.02862112597642349,0.04369335139177819,0.34,0.028837611918573605,0.052621750908272716,0.278975,0.07298186735310525,simple
068,cue,control,low,0.02532899046394353,0.03852758233277022,0.3,0.02696930763293915,0.04533556575739232,0.35867499999999997,0.07069047013198039,simple
068,cue,present,absent,0,0.0876856487814822,0.99,8.76856487814822e-4,0.004839401635460033,0.911475,0.05467477109623339,simple
