participant,bias_source,cond,contrast_level,stim,response_non_zero,prop_zero,response,response_pred,hurdle_prob,response_pred_non_zero,model_name
001,baserate,control,absent,0,0.007874,0.98,1.5748000000000002e-4,0.001030923826393679,0.9269499999999999,0.014480962528803834,hurdle
001,baserate,control,high,0.0263968280998789,0.02596308888888889,0.1,0.02336678,0.012015412106486125,0.42779999999999996,0.021039999056071762,hurdle
001,baserate,control,low,0.02041701636305705,0.021343583333333332,0.76,0.00512246,0.008176870734706763,0.580375,0.019552883334781494,hurdle
001,baserate,present,absent,0,0.010919,0.9,0.0010919,0.0014632169208907621,0.8976500000000001,0.014666709017716566,hurdle
001,baserate,present,high,0.0263968280998789,0.01879044155844156,0.14444444444444443,0.016076266666666665,0.012979350573796017,0.37907500000000005,0.020954347615895264,hurdle
001,baserate,present,low,0.02041701636305705,0.014487695652173914,0.7444444444444445,0.0037024111111111113,0.009211540838316374,0.5259750000000001,0.0195056488059857,hurdle
002,baserate,control,absent,0,0.020142780821917807,0.27,0.01470423,0.009335107167734136,0.44655,0.0170346256099639,hurdle
002,baserate,control,high,0.04162049268421666,0.024352652173913043,0.08,0.02240444,0.02776704567473739,0.010199999999999987,0.028056905333144255,hurdle
002,baserate,control,low,0.02453830814328067,0.021601225,0.2,0.01728098,0.021897341037107807,0.05952500000000005,0.023305772349231754,hurdle
002,baserate,present,absent,0,0.020672176470588235,0.15,0.01757135,0.011308941299169822,0.33730000000000004,0.017224664065544924,hurdle
002,baserate,present,high,0.04162049268421666,0.027445752808988765,0.011111111111111112,0.0271408,0.027764307787058438,0.008199999999999985,0.027997593383329664,hurdle
002,baserate,present,low,0.02453830814328067,0.022347166666666668,0.06666666666666667,0.020857355555555554,0.022280158250229828,0.04454999999999998,0.02333712313530192,hurdle
003,baserate,control,absent,0,0.001521,0.99,1.521e-5,6.832658672057887e-4,0.962375,0.01828153372816884,hurdle
003,baserate,control,high,0.02625353566363624,0.022353846153846155,0.48,0.011624,0.009283242970509933,0.630425,0.0251269238644225,hurdle
003,baserate,control,low,0.01986107383465312,0.017182666666666666,0.88,0.00206192,0.00542895372846827,0.766575,0.023281013880667965,hurdle
003,baserate,present,absent,0,0.0208468,0.75,0.0052117,0.0015383897074932298,0.915975,0.018424155028079224,hurdle
003,baserate,present,high,0.02625353566363624,0.025500448979591837,0.45555555555555555,0.013883577777777777,0.014132903385918154,0.433775,0.024971566401261656,hurdle
003,baserate,present,low,0.01986107383465312,0.02554252777777778,0.6,0.010217011111111111,0.009509268665979233,0.59005,0.023220523726258956,hurdle
004,baserate,control,absent,0,0.014018533333333333,0.85,0.00210278,0.0015597506506956943,0.89495,0.015172400705345115,hurdle
004,baserate,control,high,0.02344651388978911,0.02298997142857143,0.3,0.01609298,0.012352018885946947,0.409575,0.020968823035657738,hurdle
004,baserate,control,low,0.01686411403611604,0.021399428571428573,0.72,0.00599184,0.008003562056451623,0.57935,0.019110963702137808,hurdle
