participant,bias_source,cond,contrast_level,stim,response_non_zero,prop_zero,response,response_pred,hurdle_prob,response_pred_non_zero,model_name
065,cue,control,absent,0,0.012001066666666666,0.85,0.0018001599999999999,0.0013521930890346074,0.897075,0.014591319881190385,contrast
065,cue,control,high,0.02313960762711664,0.0215962972972973,0.26,0.01598126,0.017118515778216093,0.272675,0.023653591348560175,contrast
065,cue,control,low,0.0178986865063128,0.023673916666666666,0.76,0.00568174,0.012156566826750526,0.425825,0.021379329436950322,contrast
065,cue,present,absent,0,0.01879535714285714,0.86,0.00263135,0.0018529317394033933,0.889,0.017294645621567167,contrast
065,cue,present,high,0.02313960762711664,0.026181770833333333,0.04,0.0251345,0.021210595543210194,0.25949999999999995,0.02867601073864588,contrast
065,cue,present,low,0.0178986865063128,0.026546942857142857,0.3,0.01858286,0.015087188212728786,0.41245,0.02574132190346425,contrast
066,cue,control,absent,0,0.0091278,0.95,4.5639e-4,7.351106495451436e-4,0.959525,0.01857792929564622,contrast
066,cue,control,high,0.0348989000829103,0.03602397826086957,0.08,0.03314206,0.028752184594925404,0.18232499999999996,0.03516910950827984,contrast
066,cue,control,low,0.01740875026586029,0.02690925,0.92,0.00215274,0.008053847762061115,0.696075,0.026558994388640164,contrast
066,cue,present,absent,0,0.0018635,0.98,3.727e-5,0.0012034381393336395,0.954925,0.026742279240461197,contrast
066,cue,present,high,0.0348989000829103,0.050600714285714284,0.02,0.0495887,0.03821111372372634,0.18535000000000001,0.04690494534306308,contrast
066,cue,present,low,0.01740875026586029,0.02812007142857143,0.72,0.00787362,0.011523011523697932,0.688375,0.03697909572170449,contrast
067,cue,control,absent,0,0.013699533333333333,0.7,0.00410986,0.003672945234492123,0.8063750000000001,0.019374641355755392,contrast
067,cue,control,high,0.02772375100195255,0.03418615789473684,0.24,0.02598148,0.02845407585697244,0.09414999999999996,0.03142354577800748,contrast
067,cue,control,low,0.00819868968013609,0.02035775,0.84,0.00325724,0.00943854271815929,0.57665,0.022460249868421812,contrast
067,cue,present,absent,0,0.029337676470588235,0.66,0.00997481,0.005681999238489384,0.7977,0.02811982956183821,contrast
067,cue,present,high,0.02772375100195255,0.04723781632653061,0.02,0.046293060000000004,0.04003795284150174,0.08999999999999997,0.04399804062155085,contrast
067,cue,present,low,0.00819868968013609,0.024400761904761904,0.58,0.01024832,0.01436477474152285,0.5627249999999999,0.03286016184785131,contrast
068,cue,control,absent,0,0.002154,0.99,2.154e-5,5.429723754824632e-4,0.97575,0.02254371254402281,contrast
