participant,bias_source,cond,contrast_level,stim,response_non_zero,prop_zero,response,response_pred,hurdle_prob,response_pred_non_zero,model_name
065,cue,control,absent,0,0.012001066666666666,0.85,0.0018001599999999999,9.648460547261967e-4,0.9294,0.014935881228751363,full
065,cue,control,high,0.02313960762711664,0.0215962972972973,0.26,0.01598126,0.014546451595888672,0.38402499999999995,0.023740659236695296,full
065,cue,control,low,0.0178986865063128,0.023673916666666666,0.76,0.00568174,0.009594028043056224,0.5472250000000001,0.021392102903541127,full
065,cue,present,absent,0,0.01879535714285714,0.86,0.00263135,0.0024664239572262906,0.85205,0.017322025794950888,full
065,cue,present,high,0.02313960762711664,0.026181770833333333,0.04,0.0251345,0.02424379879976476,0.15427500000000005,0.028700022111827605,full
065,cue,present,low,0.0178986865063128,0.026546942857142857,0.3,0.01858286,0.018646484969395877,0.275875,0.025812476229870165,full
066,cue,control,absent,0,0.0091278,0.95,4.5639e-4,6.942589535355385e-4,0.963025,0.019116593167385107,full
066,cue,control,high,0.0348989000829103,0.03602397826086957,0.08,0.03314206,0.026851252983660288,0.2348,0.03509603678375883,full
066,cue,control,low,0.01740875026586029,0.02690925,0.92,0.00215274,0.006855750089537313,0.741,0.02652393133030997,full
066,cue,present,absent,0,0.0018635,0.98,3.727e-5,0.0010834705478117261,0.959575,0.026856219150780018,full
066,cue,present,high,0.0348989000829103,0.050600714285714284,0.02,0.0495887,0.04123013471800939,0.12,0.046852569052171396,full
066,cue,present,low,0.01740875026586029,0.02812007142857143,0.72,0.00787362,0.013168156465048465,0.6406499999999999,0.03664593852915277,full
067,cue,control,absent,0,0.013699533333333333,0.7,0.00410986,0.0026332032076660937,0.86035,0.019233418408589685,full
067,cue,control,high,0.02772375100195255,0.03418615789473684,0.24,0.02598148,0.026787741820232164,0.14790000000000003,0.03144981162428487,full
067,cue,control,low,0.00819868968013609,0.02035775,0.84,0.00325724,0.007223316668471302,0.676675,0.022491362788503038,full
067,cue,present,absent,0,0.029337676470588235,0.66,0.00997481,0.007571199018927416,0.7309,0.028158994888033136,full
067,cue,present,high,0.02772375100195255,0.04723781632653061,0.02,0.046293060000000004,0.042182864794341565,0.042950000000000044,0.0440763333899418,full
067,cue,present,low,0.00819868968013609,0.024400761904761904,0.58,0.01024832,0.018297516750953743,0.44172500000000003,0.03278568754347423,full
068,cue,control,absent,0,0.002154,0.99,2.154e-5,5.78229688583768e-4,0.974225,0.02255485841728394,full
068,cue,control,high,0.02897619528553714,0.03816794285714286,0.3,0.02671756,0.01869340090653707,0.489575,0.03662626924444547,full
068,cue,control,low,0.02093082130274615,0.03211083333333333,0.88,0.0038533,0.00896636471153235,0.7246250000000001,0.03257021541460493,full
068,cue,present,high,0.02897619528553714,0.05348497297297297,0.26,0.039578880000000004,0.028767459622634786,0.43447499999999994,0.05086859046485087,full
068,cue,present,low,0.02093082130274615,0.031736,0.9,0.0031736,0.013355524547217156,0.712975,0.04653087552379464,full
069,cue,control,absent,0,0.018615619047619048,0.79,0.00390928,0.0016641992455979982,0.897425,0.016923348271702377,full
069,cue,control,high,0.02002703296823366,0.020640925925925927,0.46,0.011146099999999999,0.015216104402127426,0.385475,0.02485033404100598,full
069,cue,control,low,0.01362661223797195,0.019829625,0.68,0.00634548,0.009027051791763996,0.587425,0.022072272976985795,full
069,cue,present,absent,0,0.024919102040816328,0.51,0.01221036,0.008779330191976202,0.6206499999999999,0.0232784494136337,full
069,cue,present,high,0.02002703296823366,0.033589229166666665,0.04,0.03224566,0.03137798670098383,0.0776,0.03402406243253148,full
069,cue,present,low,0.01362661223797195,0.027823272727272728,0.34,0.01836336,0.025071749418361492,0.17610000000000003,0.030446621191774954,full
070,cue,control,high,0.03442843199000103,0.03657307142857143,0.16,0.03072138,0.027878556178897815,0.23619999999999997,0.03650237366774056,full
070,cue,control,low,0.03003365914082899,0.03575896875,0.36,0.02288574,0.022188265708747545,0.35365,0.034333597296563156,full
070,cue,present,absent,0,0.012606666666666667,0.97,3.7820000000000003e-4,0.0015489564213031068,0.942625,0.027039205471602913,full
070,cue,present,high,0.03442843199000103,0.04770327659574468,0.06,0.04484108,0.042048307808541026,0.10004999999999997,0.046723077794468715,full
070,cue,present,low,0.03003365914082899,0.04406730952380952,0.16,0.03701654,0.036670219410874796,0.17112499999999997,0.0442409523883273,full
071,cue,control,absent,0,0.00889525,0.72,0.00249067,6.248898575359151e-4,0.9064,0.011112109945241163,full
071,cue,control,high,0.03739956235939471,0.019974666666666665,0.1,0.0179772,0.021933816687397335,0.07640000000000002,0.023863976484646162,full
071,cue,control,low,0.02948892478095431,0.01699389189189189,0.26,0.01257548,0.016846402296071886,0.16662500000000002,0.02047903735851584,full
071,cue,present,absent,0,0.012950416666666667,0.88,0.00155405,5.784988456782491e-4,0.9438,0.012874851884944116,full
071,cue,present,high,0.03739956235939471,0.026842955555555555,0.1,0.02415866,0.02804456442170899,0.05327499999999996,0.029644917338703638,full
071,cue,present,low,0.02948892478095431,0.02669371794871795,0.22,0.0208211,0.021362007682428668,0.15585000000000004,0.025381990259306944,full
072,cue,control,absent,0,0.012813166666666667,0.94,7.6879e-4,5.277954682142136e-4,0.960725,0.014861331541543678,full
072,cue,control,high,0.02226735659610731,0.02092116,0.5,0.01046058,0.009866578061690185,0.56375,0.02277202148544921,full
072,cue,control,low,0.01638514405947734,0.0224166,0.8,0.00448332,0.00523400963252343,0.73685,0.02016817969646108,full
072,cue,present,absent,0,0.020128666666666666,0.97,6.0386e-4,8.042872391872121e-4,0.94355,0.015245992805434,full
072,cue,present,high,0.02226735659610731,0.0246417,0.2,0.01971336,0.016219221825718173,0.36034999999999995,0.025437364577155803,full
