participant,bias_source,cond,contrast_level,stim,response_non_zero,prop_zero,response,response_pred,hurdle_prob,response_pred_non_zero,model_name
065,cue,control,absent,0,0.012001066666666666,0.85,0.0018001599999999999,0.0011718876145061943,0.9259,0.016866955803856207,hurdle
065,cue,control,high,0.02313960762711664,0.0215962972972973,0.26,0.01598126,0.016557498038135065,0.379775,0.026782045646893977,hurdle
065,cue,control,low,0.0178986865063128,0.023673916666666666,0.76,0.00568174,0.010933775750149005,0.5438000000000001,0.02411345768336869,hurdle
065,cue,present,absent,0,0.01879535714285714,0.86,0.00263135,0.0022543236112705133,0.860575,0.01709586264159667,hurdle
065,cue,present,high,0.02313960762711664,0.026181770833333333,0.04,0.0251345,0.022443342701803315,0.15937500000000004,0.02677618260728795,hurdle
065,cue,present,low,0.0178986865063128,0.026546942857142857,0.3,0.01858286,0.017057613775431357,0.29269999999999996,0.02427187997545239,hurdle
066,cue,control,absent,0,0.0091278,0.95,4.5639e-4,8.923203627062777e-4,0.96095,0.02297587979335357,hurdle
066,cue,control,high,0.0348989000829103,0.03602397826086957,0.08,0.03314206,0.031624789407536505,0.23550000000000004,0.04136798023538039,hurdle
066,cue,control,low,0.01740875026586029,0.02690925,0.92,0.00215274,0.008482165769223568,0.7363500000000001,0.03218785499816775,hurdle
066,cue,present,absent,0,0.0018635,0.98,3.727e-5,9.74250159679148e-4,0.958575,0.023739563870999347,hurdle
066,cue,present,high,0.0348989000829103,0.050600714285714284,0.02,0.0495887,0.03626129891979325,0.12090000000000001,0.04125058153164182,hurdle
066,cue,present,low,0.01740875026586029,0.02812007142857143,0.72,0.00787362,0.011557582007595478,0.642725,0.03236737051075791,hurdle
067,cue,control,absent,0,0.013699533333333333,0.7,0.00410986,0.0036381351354197156,0.850525,0.02448631223038067,hurdle
067,cue,control,high,0.02772375100195255,0.03418615789473684,0.24,0.02598148,0.0327409426522953,0.14612499999999995,0.03834796757820906,hurdle
067,cue,control,low,0.00819868968013609,0.02035775,0.84,0.00325724,0.009420373215036146,0.668525,0.02848269007358107,hurdle
067,cue,present,absent,0,0.029337676470588235,0.66,0.00997481,0.00648960078100982,0.73295,0.02442896481529186,hurdle
067,cue,present,high,0.02772375100195255,0.04723781632653061,0.02,0.046293060000000004,0.03668680780794051,0.04600000000000004,0.03845985889228365,hurdle
067,cue,present,low,0.00819868968013609,0.024400761904761904,0.58,0.01024832,0.015588693477476472,0.45055,0.028421795634878903,hurdle
068,cue,control,absent,0,0.002154,0.99,2.154e-5,7.578068005235834e-4,0.9738,0.02899057138049197,hurdle
068,cue,control,high,0.02897619528553714,0.03816794285714286,0.3,0.02671756,0.022483294621166626,0.485475,0.043697435082241075,hurdle
068,cue,control,low,0.02093082130274615,0.03211083333333333,0.88,0.0038533,0.010863662858970056,0.7248749999999999,0.0394906947098415,hurdle
068,cue,present,high,0.02897619528553714,0.05348497297297297,0.26,0.039578880000000004,0.0247116383251873,0.43445,0.043695054283757084,hurdle
