participant,bias_source,cond,contrast_level,stim,response_non_zero,prop_zero,response,response_pred,hurdle_prob,response_pred_non_zero,model_name
116,payoff,control,absent,0,0.009725,0.96,3.89e-4,7.203694857194334e-4,0.93795,0.01214935544505444,contrast
116,payoff,control,high,0.03293946945839399,0.021721227272727274,0.12,0.01911468,0.016456175175757308,0.26365000000000005,0.02236367514249985,contrast
116,payoff,control,low,0.02446293673458027,0.01981895238095238,0.58,0.00832396,0.010133024709584484,0.47977499999999995,0.01952276672078586,contrast
116,payoff,present,absent,0,0.012119692307692307,0.87,0.00157556,9.403852629157862e-4,0.934175,0.014521994668247705,contrast
116,payoff,present,high,0.03293946945839399,0.02372795238095238,0.16,0.01993148,0.016242306480947263,0.2612,0.022004985280853154,contrast
116,payoff,present,low,0.02446293673458027,0.01601475,0.68,0.00512472,0.01047016816534654,0.47567499999999996,0.020003777126209727,contrast
117,payoff,control,absent,0,0.01646832075471698,0.47,0.00872821,0.009425638108510263,0.44145,0.016978917624991208,contrast
117,payoff,control,high,0.02229144536442779,0.023868854166666665,0.04,0.0229141,0.023070049195675197,0.06087500000000001,0.0245708836520722,contrast
117,payoff,control,low,0.01788859702292091,0.023541833333333335,0.16,0.01977514,0.020710585180112977,0.09835000000000005,0.022981453228395052,contrast
117,payoff,present,absent,0,0.015228360655737705,0.39,0.0092893,0.010085490578998352,0.43589999999999995,0.017944106614752,contrast
117,payoff,present,high,0.02229144536442779,0.024607166666666666,0.04,0.02362288,0.02189925476571203,0.06562500000000004,0.023447405419320024,contrast
117,payoff,present,low,0.01788859702292091,0.0236473,0,0.0236473,0.019999042946161276,0.10042499999999999,0.022245632381295642,contrast
118,payoff,control,absent,0,0.005833142857142857,0.93,4.0832e-4,8.14359557884696e-4,0.9094,0.010343748963980692,contrast
118,payoff,control,high,0.01908640951907379,0.013528241379310345,0.42,0.00784638,0.007235676249027487,0.51475,0.015103967316859186,contrast
118,payoff,control,low,0.01440073136135932,0.013091470588235295,0.66,0.0044511,0.00483076043383279,0.644725,0.013921043012572245,contrast
118,payoff,present,absent,0,0.012939307692307693,0.87,0.00168211,0.0011881772576584101,0.898175,0.012271832235881209,contrast
118,payoff,present,high,0.01908640951907379,0.014588677419354839,0.38,0.00904498,0.007684442184664652,0.514875,0.015989047416224922,contrast
118,payoff,present,low,0.01440073136135932,0.0129746,0.7,0.00389238,0.005389658988643701,0.637,0.015039157829838248,contrast
