participant,bias_source,cond,contrast_level,stim,response_non_zero,prop_zero,response,response_pred,hurdle_prob,response_pred_non_zero,model_name
116,payoff,control,absent,0,0.009725,0.96,3.89e-4,5.118968561475761e-4,0.95615000000000006,0.012276560642686311,full
116,payoff,control,high,0.03293946945839399,0.021721227272727274,0.12,0.01911468,0.016942210264693863,0.24575000000000002,0.022474961283836265,full
116,payoff,control,low,0.02446293673458027,0.01981895238095238,0.58,0.00832396,0.009992970129960041,0.48582499999999995,0.019484219499964348,full
116,payoff,present,absent,0,0.012119692307692307,0.87,0.00157556,0.0010261463127481342,0.92665,0.014257220456574396,full
116,payoff,present,high,0.03293946945839399,0.02372795238095238,0.16,0.01993148,0.016209412940356722,0.2623,0.021994102493266898,full
116,payoff,present,low,0.02446293673458027,0.01601475,0.68,0.00512472,0.010610809599450308,0.46619999999999995,0.019908167400488654,full
117,payoff,control,absent,0,0.01646832075471698,0.47,0.00872821,0.00809482821863903,0.5182,0.016910282690804843,full
117,payoff,control,high,0.02229144536442779,0.023868854166666665,0.04,0.0229141,0.022987663704020115,0.06330000000000002,0.024546170782709098,full
117,payoff,control,low,0.01788859702292091,0.023541833333333335,0.16,0.01977514,0.020627822332703723,0.10455000000000003,0.023048434988013834,full
117,payoff,present,absent,0,0.015228360655737705,0.39,0.0092893,0.01127129671731044,0.3712,0.017990166456563497,full
117,payoff,present,high,0.02229144536442779,0.024607166666666666,0.04,0.02362288,0.022197065248467103,0.049449999999999994,0.02336052183858421,full
117,payoff,present,low,0.01788859702292091,0.0236473,0,0.0236473,0.020466407163517043,0.082175,0.022315380713272312,full
118,payoff,control,absent,0,0.005833142857142857,0.93,4.0832e-4,6.386401242960506e-4,0.929575,0.01027728556365394,full
118,payoff,control,high,0.01908640951907379,0.013528241379310345,0.42,0.00784638,0.007172798608724047,0.519825,0.015150602130936178,full
118,payoff,control,low,0.01440073136135932,0.013091470588235295,0.66,0.0044511,0.004535822967449169,0.662875,0.013754910539955614,full
118,payoff,present,absent,0,0.012939307692307693,0.87,0.00168211,0.0013180476566173075,0.885875,0.012105918743917447,full
118,payoff,present,high,0.01908640951907379,0.014588677419354839,0.38,0.00904498,0.008062534325347875,0.48812500000000003,0.01589575171642174,full
