participant,bias_source,cond,contrast_level,stim,response_non_zero,prop_zero,response,response_pred,hurdle_prob,response_pred_non_zero,model_name
116,payoff,control,absent,0,0.009725,0.96,3.89e-4,5.894198651028681e-4,0.95435,0.013349981598801052,hurdle
116,payoff,control,high,0.03293946945839399,0.021721227272727274,0.12,0.01911468,0.01677481815891657,0.24550000000000005,0.022248042499267866,hurdle
116,payoff,control,low,0.02446293673458027,0.01981895238095238,0.58,0.00832396,0.010175421296315077,0.48675,0.019865046673127218,hurdle
116,payoff,present,absent,0,0.012119692307692307,0.87,0.00157556,9.82067849833282e-4,0.92655,0.013721776717013622,hurdle
116,payoff,present,high,0.03293946945839399,0.02372795238095238,0.16,0.01993148,0.016305398615757388,0.26505,0.022203027045060664,hurdle
116,payoff,present,low,0.02446293673458027,0.01601475,0.68,0.00512472,0.010498073103829546,0.469125,0.01981729862496483,hurdle
117,payoff,control,absent,0,0.01646832075471698,0.47,0.00872821,0.00840605135865568,0.5178,0.01752750455717219,hurdle
117,payoff,control,high,0.02229144536442779,0.023868854166666665,0.04,0.0229141,0.022364983910657995,0.06467500000000004,0.023918882797340488,hurdle
117,payoff,control,low,0.01788859702292091,0.023541833333333335,0.16,0.01977514,0.02028815157683201,0.10704999999999998,0.022733387241677772,hurdle
117,payoff,present,absent,0,0.015228360655737705,0.39,0.0092893,0.010863216153020643,0.376475,0.0175044376345206,hurdle
117,payoff,present,high,0.02229144536442779,0.024607166666666666,0.04,0.02362288,0.02264158430070094,0.05369999999999997,0.02393474135569619,hurdle
117,payoff,present,low,0.01788859702292091,0.0236473,0,0.0236473,0.02076194814323224,0.08167500000000005,0.022621668360861515,hurdle
118,payoff,control,absent,0,0.005833142857142857,0.93,4.0832e-4,8.238298437511628e-4,0.922225,0.011437864729347302,hurdle
118,payoff,control,high,0.01908640951907379,0.013528241379310345,0.42,0.00784638,0.007502655796118429,0.514275,0.01560639138915704,hurdle
118,payoff,control,low,0.01440073136135932,0.013091470588235295,0.66,0.0044511,0.004864728169285943,0.6583,0.014512448481288591,hurdle
118,payoff,present,absent,0,0.012939307692307693,0.87,0.00168211,0.0011876816851008967,0.888825,0.01151404659658484,hurdle
118,payoff,present,high,0.01908640951907379,0.014588677419354839,0.38,0.00904498,0.007789809590091672,0.49670000000000003,0.015659565611058055,hurdle
118,payoff,present,low,0.01440073136135932,0.0129746,0.7,0.00389238,0.005460023536752018,0.6178,0.01454200254159172,hurdle
119,payoff,control,absent,0,0.005867000000000001,0.94,3.5202000000000003e-4,7.195415441136872e-4,0.952725,0.015407861152857891,hurdle
119,payoff,control,high,0.0242846919835536,0.02237016129032258,0.38,0.0138695,0.01137897318323439,0.490675,0.022357220345445506,hurdle
119,payoff,control,low,0.01935949739998148,0.01815909090909091,0.78,0.003995,0.007567627083157399,0.63925,0.021005692386889457,hurdle
119,payoff,present,absent,0,0.0169155,0.98,3.3831000000000003e-4,0.0020056401421464777,0.870725,0.015691886092321593,hurdle
119,payoff,present,high,0.0242846919835536,0.02360795,0.2,0.01888636,0.015103434799266046,0.32857499999999995,0.02251084784599141,hurdle
119,payoff,present,low,0.01935949739998148,0.021255242424242423,0.34,0.01402846,0.011415362811208566,0.45404999999999995,0.020935231814809642,hurdle
120,payoff,control,absent,0,0.0114969,0.7,0.00344907,0.0012275722633798148,0.91405,0.014531500712097356,hurdle
120,payoff,control,high,0.03019991540552226,0.023824615384615385,0.48,0.0123888,0.01842843103528063,0.193975,0.022875934367126708,hurdle
120,payoff,control,low,0.01423418494637946,0.0123324,0.8,0.00246648,0.006842067968536974,0.625,0.018317994182501313,hurdle
120,payoff,present,absent,0,0.01775746835443038,0.21,0.0140284,0.008414142417286634,0.413875,0.014585447015577999,hurdle
120,payoff,present,high,0.03019991540552226,0.019669048780487804,0.18,0.01612862,0.02222155835322734,0.02749999999999997,0.022863418622929357,hurdle
120,payoff,present,low,0.01423418494637946,0.01465035,0.2,0.01172028,0.015852124178076788,0.132675,0.018346018809661187,hurdle
121,payoff,control,absent,0,0.03414376,0.25,0.02560782,0.016386466530947857,0.43955,0.029238753263321888,hurdle
121,payoff,control,high,0.02330276285717945,0.034528642857142855,0.16,0.02900406,0.03502282383627298,0.040775000000000006,0.03651162161795531,hurdle
121,payoff,control,low,0.0167862552456212,0.03456117142857143,0.3,0.02419282,0.0312669151882579,0.09255000000000002,0.03445589360672204,hurdle
121,payoff,present,absent,0,0.030538632911392406,0.21,0.02412552,0.01848029275365653,0.36934999999999996,0.029304423349548085,hurdle
121,payoff,present,high,0.02330276285717945,0.028947785714285714,0.16,0.02431614,0.034792040679678546,0.045924999999999994,0.03646680504766542,hurdle
121,payoff,present,low,0.0167862552456212,0.033738000000000004,0.28,0.02429136,0.03146856120137319,0.08827499999999999,0.034515457000910695,hurdle
122,payoff,control,absent,0,0.021060363636363637,0.89,0.00231664,0.0011047915149987406,0.937075,0.017652702589546924,hurdle
122,payoff,control,high,0.02756487483298133,0.0249969375,0.36,0.01599804,0.017117939616334555,0.330275,0.025564682347658574,hurdle
122,payoff,control,low,0.02177044856571971,0.023191523809523808,0.58,0.00974044,0.011935164669315322,0.49995,0.023876219041606632,hurdle
122,payoff,present,absent,0,0.019866142857142857,0.65,0.00695315,0.0034916903994075136,0.801025,0.017645798938368054,hurdle
122,payoff,present,high,0.02756487483298133,0.024341809523809523,0.16,0.02044712,0.021225363880551736,0.17167500000000002,0.02562926149642306,hurdle
122,payoff,present,low,0.02177044856571971,0.021547863636363636,0.56,0.00948106,0.017217506852004315,0.28015,0.02392797638033041,hurdle
123,payoff,control,absent,0,0.016562,0.99,1.6562e-4,7.703350203785657e-4,0.9451,0.014324022721679066,hurdle
