participant,bias_source,cond,contrast_level,stim,response_non_zero,prop_zero,response,response_pred,hurdle_prob,response_pred_non_zero,model_name
116,payoff,control,absent,0,0.009725,0.96,3.89e-4,8.79568805705134e-4,0.93205,0.0132259386759679,simple
116,payoff,control,high,0.03293946945839399,0.021721227272727274,0.12,0.01911468,0.016395526548773066,0.26070000000000004,0.02219312564212444,simple
116,payoff,control,low,0.02446293673458027,0.01981895238095238,0.58,0.00832396,0.010324498978127292,0.47829999999999995,0.019829154404960612,simple
116,payoff,present,absent,0,0.012119692307692307,0.87,0.00157556,8.821348120517039e-4,0.93285,0.013484163891171394,simple
116,payoff,present,high,0.03293946945839399,0.02372795238095238,0.16,0.01993148,0.016378677730720992,0.26597499999999996,0.022328194122222023,simple
116,payoff,present,low,0.02446293673458027,0.01601475,0.68,0.00512472,0.010454234625019114,0.474125,0.019918991681380425,simple
117,payoff,control,absent,0,0.01646832075471698,0.47,0.00872821,0.009739469551994485,0.43965,0.017473677416886234,simple
117,payoff,control,high,0.02229144536442779,0.023868854166666665,0.04,0.0229141,0.022389183742932837,0.06299999999999994,0.02390241122207903,simple
117,payoff,control,low,0.01788859702292091,0.023541833333333335,0.16,0.01977514,0.02026901963760015,0.1028,0.022604899482782537,simple
117,payoff,present,absent,0,0.015228360655737705,0.39,0.0092893,0.009675575618333482,0.4438,0.01749847698515253,simple
117,payoff,present,high,0.02229144536442779,0.024607166666666666,0.04,0.02362288,0.0223757836094292,0.06282500000000002,0.023884814129299037,simple
117,payoff,present,low,0.01788859702292091,0.0236473,0,0.0236473,0.020362432814287915,0.09985,0.02263418345602733,simple
118,payoff,control,absent,0,0.005833142857142857,0.93,4.0832e-4,0.0010020172148577791,0.904425,0.011308143086633504,simple
118,payoff,control,high,0.01908640951907379,0.013528241379310345,0.42,0.00784638,0.007640724147439695,0.508875,0.015724518150826445,simple
118,payoff,control,low,0.01440073136135932,0.013091470588235295,0.66,0.0044511,0.005061430940112411,0.64295,0.014451650934540063,simple
118,payoff,present,absent,0,0.012939307692307693,0.87,0.00168211,0.0010000794644762878,0.9051,0.0113993823101726,simple
