parameter,rhat,experiment,condition,model_name
b_Intercept,1.0062185038424307,exp1,baserate,simple
b_hu_Intercept,1.0011981396142298,exp1,baserate,simple
b_stim,1.0001737968032545,exp1,baserate,simple
b_hu_stim,1.0000743138977126,exp1,baserate,simple
sd_participant__Intercept,1.001370451980591,exp1,baserate,simple
sd_participant__hu_Intercept,1.0038151617686548,exp1,baserate,simple
sigma,1.0002088739293347,exp1,baserate,simple
Intercept,1.0063142443277884,exp1,baserate,simple
Intercept_hu,1.0012842949517287,exp1,baserate,simple
"r_participant[001,Intercept]",1.004028938974676,exp1,baserate,simple
"r_participant[002,Intercept]",1.0045648797113094,exp1,baserate,simple
"r_participant[003,Intercept]",1.004534948489315,exp1,baserate,simple
"r_participant[004,Intercept]",1.0043754377292562,exp1,baserate,simple
"r_participant[005,Intercept]",1.0049157664730703,exp1,baserate,simple
"r_participant[006,Intercept]",1.0045778503557192,exp1,baserate,simple
"r_participant[008,Intercept]",1.0046406459651958,exp1,baserate,simple
"r_participant[009,Intercept]",1.0047380741268117,exp1,baserate,simple
"r_participant[010,Intercept]",1.0046062401880287,exp1,baserate,simple
"r_participant[011,Intercept]",1.0047170455478223,exp1,baserate,simple
"r_participant[012,Intercept]",1.0043879539233,exp1,baserate,simple
"r_participant[013,Intercept]",1.00452206182043,exp1,baserate,simple
"r_participant[014,Intercept]",1.004782332148526,exp1,baserate,simple
"r_participant[015,Intercept]",1.0046017456387524,exp1,baserate,simple
"r_participant[016,Intercept]",1.00466508616469,exp1,baserate,simple
"r_participant[017,Intercept]",1.0039958900294956,exp1,baserate,simple
"r_participant[018,Intercept]",1.004631239062358,exp1,baserate,simple
"r_participant[019,Intercept]",1.0044496481516043,exp1,baserate,simple
"r_participant[020,Intercept]",1.0046595271739984,exp1,baserate,simple
"r_participant[021,Intercept]",1.0046877668575671,exp1,baserate,simple
"r_participant[022,Intercept]",1.00489077023611,exp1,baserate,simple
"r_participant[023,Intercept]",1.0041850305361333,exp1,baserate,simple
"r_participant[024,Intercept]",1.0045706550122766,exp1,baserate,simple
"r_participant[025,Intercept]",1.003906627815116,exp1,baserate,simple
"r_participant[026,Intercept]",1.0045120644487742,exp1,baserate,simple
"r_participant[027,Intercept]",1.0038095645000644,exp1,baserate,simple
"r_participant[029,Intercept]",1.0042745964543405,exp1,baserate,simple
"r_participant[030,Intercept]",1.00414329903394,exp1,baserate,simple
"r_participant[032,Intercept]",1.005056232866717,exp1,baserate,simple
"r_participant[033,Intercept]",1.0046014051950594,exp1,baserate,simple
"r_participant[034,Intercept]",1.0051617563201718,exp1,baserate,simple
"r_participant[035,Intercept]",1.004226800170891,exp1,baserate,simple
"r_participant[036,Intercept]",1.0047200802396494,exp1,baserate,simple
"r_participant[037,Intercept]",1.0049707873019138,exp1,baserate,simple
"r_participant[038,Intercept]",1.0045263256884156,exp1,baserate,simple
"r_participant[039,Intercept]",1.0039716261583875,exp1,baserate,simple
"r_participant[040,Intercept]",1.004436595778683,exp1,baserate,simple
"r_participant[041,Intercept]",1.0042703361086955,exp1,baserate,simple
"r_participant[042,Intercept]",1.004178012282102,exp1,baserate,simple
"r_participant[043,Intercept]",1.0045767421656215,exp1,baserate,simple
"r_participant[044,Intercept]",1.0043687436593316,exp1,baserate,simple
"r_participant[045,Intercept]",1.0041813671326436,exp1,baserate,simple
"r_participant[046,Intercept]",1.0043178218149171,exp1,baserate,simple
"r_participant[047,Intercept]",1.004196900487419,exp1,baserate,simple
"r_participant[048,Intercept]",1.004500575763986,exp1,baserate,simple
"r_participant[051,Intercept]",1.0043143247954152,exp1,baserate,simple
"r_participant[053,Intercept]",1.0049713218571417,exp1,baserate,simple
"r_participant[054,Intercept]",1.004778395236366,exp1,baserate,simple
