parameter,rhat,experiment,condition,model_name
b_Intercept,1.0004579115589347,exp1,cue,full
b_hu_Intercept,1.0029238516540728,exp1,cue,full
b_stim,1.0001587111236905,exp1,cue,full
b_condpresent,1.0003445336417334,exp1,cue,full
b_stim:condpresent,1.0002270946228802,exp1,cue,full
b_hu_stim,0.9999788099201802,exp1,cue,full
b_hu_condpresent,1.0002903978418567,exp1,cue,full
b_hu_stim:condpresent,1.0000834561404524,exp1,cue,full
sd_participant__Intercept,1.000132598071885,exp1,cue,full
sd_participant__condpresent,1.0000968002454802,exp1,cue,full
sd_participant__hu_Intercept,1.0003077754924758,exp1,cue,full
sd_participant__hu_condpresent,1.0003629525347082,exp1,cue,full
cor_participant__Intercept__condpresent,1.0002295770328364,exp1,cue,full
cor_participant__hu_Intercept__hu_condpresent,1.000280380822118,exp1,cue,full
sigma,1.0004132870520255,exp1,cue,full
Intercept,1.000693954422338,exp1,cue,full
Intercept_hu,1.0029837826111956,exp1,cue,full
"r_participant[065,Intercept]",1.000281605632478,exp1,cue,full
"r_participant[066,Intercept]",1.000324241990974,exp1,cue,full
"r_participant[067,Intercept]",1.000188129649659,exp1,cue,full
"r_participant[068,Intercept]",1.0001994844460826,exp1,cue,full
"r_participant[069,Intercept]",1.0001905261056396,exp1,cue,full
"r_participant[070,Intercept]",1.0002172721718277,exp1,cue,full
"r_participant[071,Intercept]",1.0000231607775343,exp1,cue,full
"r_participant[072,Intercept]",1.0001411812131424,exp1,cue,full
"r_participant[073,Intercept]",1.00002327999664,exp1,cue,full
"r_participant[074,Intercept]",0.9999765210976833,exp1,cue,full
"r_participant[075,Intercept]",1.000176681961016,exp1,cue,full
"r_participant[076,Intercept]",1.0001349087443108,exp1,cue,full
"r_participant[077,Intercept]",1.0000548080175775,exp1,cue,full
"r_participant[078,Intercept]",1.0000313630700146,exp1,cue,full
"r_participant[079,Intercept]",0.9999765695076146,exp1,cue,full
"r_participant[080,Intercept]",1.000312089274726,exp1,cue,full
"r_participant[081,Intercept]",1.0002394013858131,exp1,cue,full
"r_participant[082,Intercept]",1.0002131619618067,exp1,cue,full
"r_participant[083,Intercept]",1.0001864116811927,exp1,cue,full
"r_participant[084,Intercept]",1.00007000414615,exp1,cue,full
"r_participant[085,Intercept]",1.0001792450414715,exp1,cue,full
"r_participant[086,Intercept]",1.0000565044900311,exp1,cue,full
"r_participant[087,Intercept]",1.000070726443226,exp1,cue,full
"r_participant[088,Intercept]",1.0000786963266712,exp1,cue,full
"r_participant[089,Intercept]",1.000113943275886,exp1,cue,full
"r_participant[090,Intercept]",1.000253603685848,exp1,cue,full
"r_participant[091,Intercept]",1.0000262229072776,exp1,cue,full
"r_participant[092,Intercept]",1.0001054008198005,exp1,cue,full
"r_participant[093,Intercept]",1.000126430084575,exp1,cue,full
"r_participant[095,Intercept]",1.000242345857825,exp1,cue,full
"r_participant[096,Intercept]",1.0001017172368898,exp1,cue,full
"r_participant[097,Intercept]",1.0000626370459065,exp1,cue,full
"r_participant[098,Intercept]",1.0003379079560475,exp1,cue,full
"r_participant[099,Intercept]",1.000256389231207,exp1,cue,full
"r_participant[100,Intercept]",1.0000297668329936,exp1,cue,full
"r_participant[101,Intercept]",1.000140521522747,exp1,cue,full
"r_participant[102,Intercept]",1.000158764958178,exp1,cue,full
"r_participant[103,Intercept]",1.0002495336206025,exp1,cue,full
"r_participant[104,Intercept]",1.0000676799336623,exp1,cue,full
"r_participant[105,Intercept]",1.0001450061108679,exp1,cue,full
"r_participant[106,Intercept]",1.000151151638747,exp1,cue,full
"r_participant[107,Intercept]",1.0001898458304703,exp1,cue,full
"r_participant[108,Intercept]",1.000168426691782,exp1,cue,full
"r_participant[109,Intercept]",1.0000776039945927,exp1,cue,full
"r_participant[110,Intercept]",1.0001222379245867,exp1,cue,full
"r_participant[111,Intercept]",1.0000679210240206,exp1,cue,full
"r_participant[112,Intercept]",1.000167738958617,exp1,cue,full
"r_participant[113,Intercept]",1.0000599108554038,exp1,cue,full
"r_participant[114,Intercept]",1.0001978096438306,exp1,cue,full
"r_participant[115,Intercept]",1.0000723158004492,exp1,cue,full
"r_participant[116,Intercept]",1.000223863933555,exp1,cue,full
"r_participant[117,Intercept]",1.000115528054057,exp1,cue,full
"r_participant[118,Intercept]",1.0002863974380491,exp1,cue,full
"r_participant[119,Intercept]",1.000160867247054,exp1,cue,full
"r_participant[120,Intercept]",1.0003420291542966,exp1,cue,full
"r_participant[121,Intercept]",1.0000951749801232,exp1,cue,full
"r_participant[122,Intercept]",1.0001009974642066,exp1,cue,full
"r_participant[123,Intercept]",1.0000708689678455,exp1,cue,full
"r_participant[124,Intercept]",1.000195253672348,exp1,cue,full
"r_participant[125,Intercept]",1.0000620008222465,exp1,cue,full
"r_participant[126,Intercept]",1.0000599265790822,exp1,cue,full
"r_participant[127,Intercept]",1.0000772732064716,exp1,cue,full
"r_participant[128,Intercept]",1.0002474990717227,exp1,cue,full
"r_participant[129,Intercept]",1.0001789032232327,exp1,cue,full
"r_participant[130,Intercept]",1.0001618701287336,exp1,cue,full
"r_participant[131,Intercept]",1.000167335626276,exp1,cue,full
"r_participant[132,Intercept]",1.0000281828058644,exp1,cue,full
"r_participant[133,Intercept]",1.000038683210196,exp1,cue,full
"r_participant[134,Intercept]",1.000181602506525,exp1,cue,full
"r_participant[135,Intercept]",1.0000773907120641,exp1,cue,full
"r_participant[136,Intercept]",1.0001129628827885,exp1,cue,full
"r_participant[137,Intercept]",1.0001009520924273,exp1,cue,full
"r_participant[138,Intercept]",1.0001688267098507,exp1,cue,full
"r_participant[139,Intercept]",1.0002723314040138,exp1,cue,full
"r_participant[140,Intercept]",1.0001335700150502,exp1,cue,full
"r_participant[141,Intercept]",1.0001973294165887,exp1,cue,full
"r_participant[142,Intercept]",1.0000770551789082,exp1,cue,full
"r_participant[143,Intercept]",1.000137126191542,exp1,cue,full
"r_participant[144,Intercept]",1.0002920368624375,exp1,cue,full
"r_participant[145,Intercept]",1.000070665407105,exp1,cue,full
"r_participant[146,Intercept]",1.000243405951887,exp1,cue,full
"r_participant[147,Intercept]",1.0002355092676016,exp1,cue,full
"r_participant[148,Intercept]",1.0002745763975505,exp1,cue,full
"r_participant[149,Intercept]",1.0001210338526494,exp1,cue,full
"r_participant[150,Intercept]",1.0002710471842922,exp1,cue,full
"r_participant[151,Intercept]",1.000008374253687,exp1,cue,full
"r_participant[152,Intercept]",1.000181716944556,exp1,cue,full
"r_participant[153,Intercept]",1.0000372503496648,exp1,cue,full
"r_participant[154,Intercept]",1.0001049850117014,exp1,cue,full
"r_participant[155,Intercept]",1.0000988261335024,exp1,cue,full
"r_participant[156,Intercept]",1.000070320841444,exp1,cue,full
"r_participant[157,Intercept]",1.0000852100848951,exp1,cue,full
"r_participant[158,Intercept]",1.0002319097616925,exp1,cue,full
"r_participant[159,Intercept]",1.0001140442367011,exp1,cue,full
"r_participant[160,Intercept]",1.0001636579829076,exp1,cue,full
"r_participant[161,Intercept]",1.0000655198198243,exp1,cue,full
"r_participant[162,Intercept]",1.0002583732966832,exp1,cue,full
"r_participant[163,Intercept]",1.000045212179665,exp1,cue,full
"r_participant[164,Intercept]",1.0002600918057438,exp1,cue,full
"r_participant[165,Intercept]",1.000110362932168,exp1,cue,full
