parameter,rhat,experiment,condition,model_name
b_Intercept,1.0061741921155427,exp1,cue,simple
b_hu_Intercept,1.00481499554332,exp1,cue,simple
b_stim,1.0000880918867394,exp1,cue,simple
b_hu_stim,1.0001302820603908,exp1,cue,simple
sd_participant__Intercept,1.0030996172681887,exp1,cue,simple
sd_participant__hu_Intercept,1.0016359673545547,exp1,cue,simple
sigma,1.0000891337400095,exp1,cue,simple
Intercept,1.0065845956205668,exp1,cue,simple
Intercept_hu,1.0049763505175717,exp1,cue,simple
"r_participant[065,Intercept]",1.0037152627839003,exp1,cue,simple
"r_participant[066,Intercept]",1.0040420436822732,exp1,cue,simple
"r_participant[067,Intercept]",1.0031879719483945,exp1,cue,simple
"r_participant[068,Intercept]",1.0029216101019223,exp1,cue,simple
"r_participant[069,Intercept]",1.0028897148206952,exp1,cue,simple
"r_participant[070,Intercept]",1.0023393826110651,exp1,cue,simple
"r_participant[071,Intercept]",1.0029290125908092,exp1,cue,simple
"r_participant[072,Intercept]",1.0028041204020002,exp1,cue,simple
"r_participant[073,Intercept]",1.0028036098082598,exp1,cue,simple
"r_participant[074,Intercept]",1.0022502198116623,exp1,cue,simple
"r_participant[075,Intercept]",1.0021706508541282,exp1,cue,simple
"r_participant[076,Intercept]",1.0028024526546908,exp1,cue,simple
"r_participant[077,Intercept]",1.0029044721230582,exp1,cue,simple
"r_participant[078,Intercept]",1.0027597644346795,exp1,cue,simple
"r_participant[079,Intercept]",1.0016874159247318,exp1,cue,simple
"r_participant[080,Intercept]",1.0033777413163245,exp1,cue,simple
"r_participant[081,Intercept]",1.0025369021356594,exp1,cue,simple
"r_participant[082,Intercept]",1.0028706973365114,exp1,cue,simple
"r_participant[083,Intercept]",1.0035602895640392,exp1,cue,simple
"r_participant[084,Intercept]",1.0029199510294369,exp1,cue,simple
"r_participant[085,Intercept]",1.0029849037834495,exp1,cue,simple
"r_participant[086,Intercept]",1.0029591144304448,exp1,cue,simple
"r_participant[087,Intercept]",1.0027832473306297,exp1,cue,simple
"r_participant[088,Intercept]",1.00216899708313,exp1,cue,simple
"r_participant[089,Intercept]",1.0030148244296615,exp1,cue,simple
"r_participant[090,Intercept]",1.004009751392871,exp1,cue,simple
"r_participant[091,Intercept]",1.0028724823388926,exp1,cue,simple
"r_participant[092,Intercept]",1.002919847308491,exp1,cue,simple
"r_participant[093,Intercept]",1.0020392960892837,exp1,cue,simple
"r_participant[095,Intercept]",1.0029647150883694,exp1,cue,simple
"r_participant[096,Intercept]",1.0023846953918456,exp1,cue,simple
"r_participant[097,Intercept]",1.0031851289888443,exp1,cue,simple
"r_participant[098,Intercept]",1.0032126802140493,exp1,cue,simple
"r_participant[099,Intercept]",1.0031030031858081,exp1,cue,simple
"r_participant[100,Intercept]",1.002728502280868,exp1,cue,simple
"r_participant[101,Intercept]",1.0021248219591168,exp1,cue,simple
"r_participant[102,Intercept]",1.0025064675335056,exp1,cue,simple
"r_participant[103,Intercept]",1.0028292482052046,exp1,cue,simple
"r_participant[104,Intercept]",1.0020458490259274,exp1,cue,simple
"r_participant[105,Intercept]",1.0023643634639017,exp1,cue,simple
"r_participant[106,Intercept]",1.003215534398693,exp1,cue,simple
"r_participant[107,Intercept]",1.0045835721261338,exp1,cue,simple
"r_participant[108,Intercept]",1.003813107491401,exp1,cue,simple
"r_participant[109,Intercept]",1.002217733632141,exp1,cue,simple
"r_participant[110,Intercept]",1.0030476669785546,exp1,cue,simple
"r_participant[111,Intercept]",1.002595599190488,exp1,cue,simple
"r_participant[112,Intercept]",1.0027472953001337,exp1,cue,simple
"r_participant[113,Intercept]",1.0016412432852675,exp1,cue,simple
"r_participant[114,Intercept]",1.002358397825721,exp1,cue,simple
"r_participant[115,Intercept]",1.0023385811320178,exp1,cue,simple
"r_participant[116,Intercept]",1.0026351360878751,exp1,cue,simple
"r_participant[117,Intercept]",1.002214094505615,exp1,cue,simple
"r_participant[118,Intercept]",1.0033326153317352,exp1,cue,simple
"r_participant[119,Intercept]",1.003097825489107,exp1,cue,simple
"r_participant[120,Intercept]",1.0026336734939147,exp1,cue,simple
"r_participant[121,Intercept]",1.0023291576332383,exp1,cue,simple
"r_participant[122,Intercept]",1.0019637020922252,exp1,cue,simple
"r_participant[123,Intercept]",1.0031634559727785,exp1,cue,simple
"r_participant[124,Intercept]",1.0020938772623442,exp1,cue,simple
"r_participant[125,Intercept]",1.0023742701905531,exp1,cue,simple
"r_participant[126,Intercept]",1.0025028429272147,exp1,cue,simple
"r_participant[127,Intercept]",1.0026990932429776,exp1,cue,simple
"r_participant[128,Intercept]",1.0025857851744824,exp1,cue,simple
"r_participant[129,Intercept]",1.002240036594357,exp1,cue,simple
"r_participant[130,Intercept]",1.0020004812594883,exp1,cue,simple
"r_participant[131,Intercept]",1.0031786782048195,exp1,cue,simple
"r_participant[132,Intercept]",1.0023016383096206,exp1,cue,simple
"r_participant[133,Intercept]",1.002588308759711,exp1,cue,simple
"r_participant[134,Intercept]",1.0029468356535742,exp1,cue,simple
"r_participant[135,Intercept]",1.0022332226706407,exp1,cue,simple
"r_participant[136,Intercept]",1.003262107543328,exp1,cue,simple
"r_participant[137,Intercept]",1.0026459160616767,exp1,cue,simple
"r_participant[138,Intercept]",1.003465493899182,exp1,cue,simple
"r_participant[139,Intercept]",1.0030347920685498,exp1,cue,simple
"r_participant[140,Intercept]",1.002874628575641,exp1,cue,simple
"r_participant[141,Intercept]",1.0030940116140774,exp1,cue,simple
"r_participant[142,Intercept]",1.00284349199862,exp1,cue,simple
"r_participant[143,Intercept]",1.0030852276443307,exp1,cue,simple
"r_participant[144,Intercept]",1.0031689826007406,exp1,cue,simple
"r_participant[145,Intercept]",1.0029165037504062,exp1,cue,simple
"r_participant[146,Intercept]",1.0027354681124145,exp1,cue,simple
"r_participant[147,Intercept]",1.003641245984344,exp1,cue,simple
"r_participant[148,Intercept]",1.0031545982182914,exp1,cue,simple
"r_participant[149,Intercept]",1.0026759520146515,exp1,cue,simple
"r_participant[150,Intercept]",1.0035466623956666,exp1,cue,simple
"r_participant[151,Intercept]",1.0018827473626075,exp1,cue,simple
"r_participant[152,Intercept]",1.0029314178181092,exp1,cue,simple
"r_participant[153,Intercept]",1.0009467597055655,exp1,cue,simple
"r_participant[154,Intercept]",1.0028230722505056,exp1,cue,simple
"r_participant[155,Intercept]",1.0035175356554653,exp1,cue,simple
"r_participant[156,Intercept]",1.0023903545458694,exp1,cue,simple
"r_participant[157,Intercept]",1.0035542312025891,exp1,cue,simple
"r_participant[158,Intercept]",1.0028606792446915,exp1,cue,simple
"r_participant[159,Intercept]",1.0034547832956942,exp1,cue,simple
"r_participant[160,Intercept]",1.0019603123737857,exp1,cue,simple
"r_participant[161,Intercept]",1.003046810170886,exp1,cue,simple
"r_participant[162,Intercept]",1.0026154730469812,exp1,cue,simple
"r_participant[163,Intercept]",1.0027260511367777,exp1,cue,simple
