parameter,rhat,experiment,condition,model_name
b_Intercept,1.0088934486005143,exp2,payoff,simple
b_hu_Intercept,1.0039947701617393,exp2,payoff,simple
b_stim,1.0001373273698149,exp2,payoff,simple
b_hu_stim,1.0000609800419507,exp2,payoff,simple
sd_participant__Intercept,1.0018894319856202,exp2,payoff,simple
sd_participant__hu_Intercept,1.0023152186180222,exp2,payoff,simple
sigma,1.0001132965615878,exp2,payoff,simple
Intercept,1.0095506874252755,exp2,payoff,simple
Intercept_hu,1.0039994971982948,exp2,payoff,simple
"r_participant[116,Intercept]",1.0056530930134255,exp2,payoff,simple
"r_participant[117,Intercept]",1.0068511650652818,exp2,payoff,simple
"r_participant[118,Intercept]",1.0044629160493124,exp2,payoff,simple
"r_participant[119,Intercept]",1.0045682578166155,exp2,payoff,simple
"r_participant[120,Intercept]",1.0060212077107251,exp2,payoff,simple
"r_participant[121,Intercept]",1.0069158120308792,exp2,payoff,simple
"r_participant[122,Intercept]",1.0051834491267324,exp2,payoff,simple
"r_participant[123,Intercept]",1.004657167510223,exp2,payoff,simple
"r_participant[124,Intercept]",1.0054375935281075,exp2,payoff,simple
"r_participant[126,Intercept]",1.005544145027206,exp2,payoff,simple
"r_participant[127,Intercept]",1.00501148601516,exp2,payoff,simple
"r_participant[128,Intercept]",1.00577064910399,exp2,payoff,simple
"r_participant[129,Intercept]",1.005742472012285,exp2,payoff,simple
"r_participant[130,Intercept]",1.0065077755124339,exp2,payoff,simple
"r_participant[131,Intercept]",1.0048904437365218,exp2,payoff,simple
"r_participant[132,Intercept]",1.0056310631083771,exp2,payoff,simple
"r_participant[133,Intercept]",1.0047444779774735,exp2,payoff,simple
"r_participant[134,Intercept]",1.0051902789362568,exp2,payoff,simple
"r_participant[135,Intercept]",1.0062028021853182,exp2,payoff,simple
"r_participant[136,Intercept]",1.0057034824559028,exp2,payoff,simple
"r_participant[137,Intercept]",1.0047642437324151,exp2,payoff,simple
"r_participant[138,Intercept]",1.0059395689653068,exp2,payoff,simple
"r_participant[139,Intercept]",1.0056448528387336,exp2,payoff,simple
"r_participant[140,Intercept]",1.0057801379611861,exp2,payoff,simple
"r_participant[141,Intercept]",1.005792850020456,exp2,payoff,simple
"r_participant[142,Intercept]",1.0040586812348915,exp2,payoff,simple
"r_participant[143,Intercept]",1.0053705519027427,exp2,payoff,simple
"r_participant[145,Intercept]",1.006618312809309,exp2,payoff,simple
"r_participant[146,Intercept]",1.0051301537519552,exp2,payoff,simple
"r_participant[147,Intercept]",1.0043166578232916,exp2,payoff,simple
"r_participant[148,Intercept]",1.0048653908814293,exp2,payoff,simple
"r_participant[149,Intercept]",1.0047373777283704,exp2,payoff,simple
"r_participant[150,Intercept]",1.0059064183735487,exp2,payoff,simple
"r_participant[151,Intercept]",1.006564983119923,exp2,payoff,simple
"r_participant[152,Intercept]",1.005035102087552,exp2,payoff,simple
"r_participant[153,Intercept]",1.0052557005909213,exp2,payoff,simple
"r_participant[154,Intercept]",1.0049071757349164,exp2,payoff,simple
"r_participant[155,Intercept]",1.0033642481501126,exp2,payoff,simple
"r_participant[157,Intercept]",1.0054111204910503,exp2,payoff,simple
"r_participant[158,Intercept]",1.0056639166190655,exp2,payoff,simple
"r_participant[159,Intercept]",1.005422068416187,exp2,payoff,simple
"r_participant[160,Intercept]",1.0055834688143293,exp2,payoff,simple
"r_participant[161,Intercept]",1.0051517088877657,exp2,payoff,simple
"r_participant[162,Intercept]",1.0052439075188702,exp2,payoff,simple
"r_participant[163,Intercept]",1.0056043927463962,exp2,payoff,simple
"r_participant[164,Intercept]",1.0042308044204085,exp2,payoff,simple
"r_participant[165,Intercept]",1.0039388402166816,exp2,payoff,simple
"r_participant[166,Intercept]",1.0053820090692218,exp2,payoff,simple
"r_participant[167,Intercept]",1.0061763601331133,exp2,payoff,simple
"r_participant[168,Intercept]",1.0056549436435598,exp2,payoff,simple
"r_participant__hu[116,Intercept]",1.0017715920900159,exp2,payoff,simple
"r_participant__hu[117,Intercept]",1.001835773222576,exp2,payoff,simple
